ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): Maine

School Name,State Name [Public School] Latest available year,Lowest Grade Offered [Public School] 2008-09,Highest Grade Offered [Public School] 2008-09,Total Students [Public School] 2008-09,Total Free and Reduced Lunch Students [Public School] 2008-09,Female Students [Public School] 2008-09,Male Students [Public School] 2008-09,State Name [Public School] 2008-09,Pupil/Teacher Ratio [Public School] 2008-09
DURHAM ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,351,86,166,185,MAINE,12.60
DYER ELEMENTARY SCHOOL,Maine,Kindergarten,5th Grade,276,41,137,139,MAINE,11.70
EAGLE LAKE ELEM/JR HIGH SCHOOL,Maine,Prekindergarten,8th Grade,99,59,54,45,MAINE,10.90
EARL C MCGRAW SCHOOL,Maine,Kindergarten,2nd Grade,258,38,115,143,MAINE,14.30
EAST AUBURN COMMUNITY SCHOOL,Maine,Kindergarten,6th Grade,139,57,63,76,MAINE,12.90
EAST BELFAST SCHOOL,Maine,Prekindergarten,5th Grade,122,74,65,57,MAINE,13.60
EAST END COMMUNITY SCHOOL,Maine,Kindergarten,5th Grade,428,330,205,223,MAINE,10.90
EAST GRAND SCHOOL,Maine,Prekindergarten,12th Grade,159,126,70,89,MAINE,9.60
EAST RANGE II CSD SCHOOL,Maine,Kindergarten,8th Grade,39,24,14,25,MAINE,13.00
EASTON ELEMENTARY SCHOOL,Maine,Prekindergarten,6th Grade,130,66,60,70,MAINE,10.00
EASTON JUNIOR-SENIOR HIGH SCH,Maine,7th Grade,12th Grade,93,41,46,47,MAINE,10.10
EASTPORT ELEMENTARY SCHOOL,Maine,Prekindergarten,8th Grade,103,72,63,40,MAINE,12.10
EDDINGTON SCHOOL,Maine,Prekindergarten,4th Grade,198,52,98,100,MAINE,13.70
EDGECOMB EDDY SCHOOL,Maine,Kindergarten,6th Grade,95,35,52,43,MAINE,9.70
EDMUNDS CONSOLIDATED SCHOOL,Maine,Prekindergarten,8th Grade,79,41,44,35,MAINE,9.80
EDNA DRINKWATER SCHOOL,Maine,Kindergarten,5th Grade,98,43,37,61,MAINE,10.90
EDNA LIBBY ELEMENTARY SCHOOL,Maine,Kindergarten,3rd Grade,304,100,144,160,MAINE,14.10
EDWARD LITTLE HIGH SCHOOL,Maine,9th Grade,12th Grade,1133,18,565,568,MAINE,12.30
EIGHT CORNERS ELEMENTARY SCHOOL,Maine,Kindergarten,2nd Grade,265,49,127,138,MAINE,13.70
ELIOT ELEMENTARY SCHOOL,Maine,Prekindergarten,3rd Grade,329,30,146,183,MAINE,16.30
ELIZA LIBBY ELEM SCHOOL,Maine,Kindergarten,1st Grade,90,20,41,49,MAINE,13.60
ELLA LEWIS SCHOOL,Maine,Kindergarten,8th Grade,95,64,47,48,MAINE,7.70
ELLA P BURR SCHOOL,Maine,Prekindergarten,4th Grade,393,223,191,202,MAINE,14.90
ELLA R HODGKINS SCHOOL,Maine,6th Grade,8th Grade,312,150,161,151,MAINE,10.60
ELLSWORTH HIGH SCHOOL,Maine,9th Grade,12th Grade,598,178,294,304,MAINE,13.70
ELLSWORTH MIDDLE SCHOOL,Maine,6th Grade,8th Grade,268,107,130,138,MAINE,14.40
ELM STREET SCHOOL-EAST MACHIAS,Maine,Prekindergarten,8th Grade,186,123,88,98,MAINE,13.60
ELM STREET SCHOOL-MECHANIC FALLS,Maine,Kindergarten,8th Grade,319,151,165,154,MAINE,9.30
EMBDEN ELEMENTARY SCHOOL,Maine,Kindergarten,8th Grade,42,19,27,15,MAINE,7.80
EMERSON SCHOOL,Maine,1st Grade,3rd Grade,123,95,54,69,MAINE,9.70
ENFIELD STATION ELEMENTARY SCHOOL,Maine,Prekindergarten,5th Grade,267,145,147,120,MAINE,9.30
